permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/blogvio,Blogvio,http://www.blogvio.com,Curated Web|PaaS|SaaS|Social Media|Software,70000,operating,ROM,23,Iasi,Iasi,1,01-01-2014,01-01-2013,01-01-2013
/organization/blokify,Blokify,http://www.blokify.com,CAD|Creative|Design|Games|Kids|Software|Toys,600000,operating,USA,NY,New York City,New York,1,29-05-2013,01-09-2013,01-09-2013
/organization/blokkd-inc,Blokkd Inc.,http://blokkd.com,Curated Web|Forums|Internet|Social Network Media,12500,closed,USA,GA,Atlanta,Atlanta,1,13-05-2011,01-10-2011,01-10-2011
/organization/blomming,Blomming,http://www.blomming.com,E-Commerce|Social Commerce|Social Media,1573650,operating,ITA,9,Milan,Milan,1,23-11-2010,23-07-2012,23-07-2012
/organization/bloo-solar,Bloo Solar,http://www.bloosolar.com/,Design|Electronics|Energy|Solar,10000000,operating,USA,CA,Sacramento,El Dorado Hills,1,01-01-2005,29-12-2014,29-12-2014
/organization/bloobox,BlooBox,http://bloobox.tv,News|Retail|Social Media|Software,50000,closed,BRA,5,BRA - Other,João Pessoa,1,01-08-2009,01-08-2009,01-08-2009
/organization/blood-cell-storage-inc,Blood cell Storage,http://bloodcellstorage.com,Biotechnology,2375000,operating,USA,WA,Seattle,Seattle,1,,14-05-2012,14-05-2012
/organization/blood-monitoring-solutions-inc,"Blood Monitoring Solutions, Inc.",http://bloodmonitoringsolutions.com,Data Integration|Health Care Information Technology|Medical,50000,operating,USA,TN,Memphis,Memphis,1,14-05-2014,15-05-2014,15-05-2014
/organization/blooders,Blooders,http://www.blooders.org,Health and Wellness,20000,operating,MEX,19,Monterrey,Monterrey,1,23-04-2013,19-02-2015,19-02-2015
/organization/bloodhound,Bloodhound,http://bloodhound.com,Mobile,4770000,closed,USA,CA,SF Bay Area,San Francisco,4,01-09-2011,24-08-2011,23-01-2013
/organization/bloodhound-2,Bloodhound,http://www.bloodhoundinc.com/,Application Platforms|Medical|Services,3000000,closed,USA,NC,Raleigh,Durham,1,,26-11-2002,26-11-2002
